CSV: data/binary008.csv
Reliability(all): 0.900000
Gridsize: 4
Maxlevel: 10
Number of circles: 105

Progress (level 3): 154 / 862 (17.900000%) ETA: 130.700000s
Progress (level 3): 155 / 870 (17.800000%) ETA: 139.620000s
Progress (level 3): 156 / 877 (17.800000%) ETA: 146.640000s
Progress (level 3): 157 / 885 (17.700000%) ETA: 157.170000s
Progress (level 3): 158 / 887 (17.800000%) ETA: 160.630000s
Progress (level 3): 159 / 896 (17.700000%) ETA: 176.000000s
Progress (level 3): 160 / 902 (17.700000%) ETA: 186.080000s
Progress (level 3): 161 / 902 (17.800000%) ETA: 194.260000s
Progress (level 3): 162 / 906 (17.900000%) ETA: 206.370000s
Progress (level 3): 163 / 913 (17.900000%) ETA: 218.710000s
Progress (level 3): 164 / 916 (17.900000%) ETA: 232.140000s
Progress (level 3): 165 / 916 (18.000000%) ETA: 238.080000s
Progress (level 3): 166 / 916 (18.100000%) ETA: 249.240000s
Progress (level 3): 167 / 927 (18.000000%) ETA: 268.240000s
Progress (level 3): 168 / 927 (18.100000%) ETA: 291.100000s
Progress (level 3): 169 / 927 (18.200000%) ETA: 311.030000s
Progress (level 3): 170 / 928 (18.300000%) ETA: 319.600000s
Progress (level 3): 171 / 936 (18.300000%) ETA: 340.150000s
Progress (level 3): 172 / 941 (18.300000%) ETA: 356.390000s
Progress (level 3): 173 / 942 (18.400000%) ETA: 365.490000s
Progress (level 3): 174 / 946 (18.400000%) ETA: 368.730000s
Progress (level 3): 175 / 947 (18.500000%) ETA: 368.920000s
Progress (level 3): 176 / 947 (18.600000%) ETA: 368.900000s
Progress (level 3): 177 / 947 (18.700000%) ETA: 367.500000s
Progress (level 3): 178 / 951 (18.700000%) ETA: 373.400000s
Progress (level 3): 179 / 955 (18.700000%) ETA: 378.260000s
Progress (level 3): 180 / 956 (18.800000%) ETA: 382.520000s
Progress (level 3): 181 / 957 (18.900000%) ETA: 388.550000s
Progress (level 3): 182 / 961 (18.900000%) ETA: 394.680000s
Progress (level 3): 183 / 964 (19.000000%) ETA: 400.550000s
Progress (level 3): 184 / 970 (19.000000%) ETA: 406.560000s
Progress (level 3): 185 / 970 (19.100000%) ETA: 406.780000s
Progress (level 3): 186 / 970 (19.200000%) ETA: 405.390000s
Progress (level 3): 187 / 974 (19.200000%) ETA: 413.610000s
Progress (level 3): 188 / 974 (19.300000%) ETA: 414.670000s
Progress (level 3): 189 / 974 (19.400000%) ETA: 418.560000s
Progress (level 3): 190 / 975 (19.500000%) ETA: 423.060000s
Progress (level 3): 191 / 977 (19.500000%) ETA: 425.220000s
Progress (level 3): 192 / 978 (19.600000%) ETA: 427.110000s
Progress (level 3): 193 / 985 (19.600000%) ETA: 438.030000s
Progress (level 3): 194 / 992 (19.600000%) ETA: 453.220000s
Progress (level 3): 195 / 998 (19.500000%) ETA: 467.130000s
Progress (level 3): 196 / 1001 (19.600000%) ETA: 477.160000s
Progress (level 3): 197 / 1004 (19.600000%) ETA: 485.520000s
Progress (level 3): 198 / 1009 (19.600000%) ETA: 501.170000s
Progress (level 3): 199 / 1010 (19.700000%) ETA: 505.050000s
Progress (level 3): 200 / 1011 (19.800000%) ETA: 507.450000s
Progress (level 3): 201 / 1016 (19.800000%) ETA: 520.930000s
Progress (level 3): 202 / 1023 (19.700000%) ETA: 538.630000s
Progress (level 3): 203 / 1027 (19.800000%) ETA: 548.440000s
Progress (level 3): 204 / 1030 (19.800000%) ETA: 558.870000s
Progress (level 3): 205 / 1030 (19.900000%) ETA: 562.580000s
Progress (level 3): 206 / 1036 (19.900000%) ETA: 580.050000s
Progress (level 3): 207 / 1039 (19.900000%) ETA: 591.960000s
Progress (level 3): 208 / 1039 (20.000000%) ETA: 593.680000s
Progress (level 3): 209 / 1039 (20.100000%) ETA: 601.770000s
Progress (level 3): 210 / 1039 (20.200000%) ETA: 614.780000s
Progress (level 3): 211 / 1041 (20.300000%) ETA: 623.550000s
Progress (level 3): 212 / 1041 (20.400000%) ETA: 623.450000s
Progress (level 3): 213 / 1044 (20.400000%) ETA: 635.250000s
Progress (level 4): 214 / 1044 (20.500000%) ETA: 631.520000s
Progress (level 4): 215 / 1044 (20.600000%) ETA: 627.830000s
Progress (level 4): 216 / 1045 (20.700000%) ETA: 624.930000s
Progress (level 4): 217 / 1046 (20.700000%) ETA: 622.060000s
Progress (level 4): 218 / 1047 (20.800000%) ETA: 619.230000s
Progress (level 4): 219 / 1047 (20.900000%) ETA: 615.660000s
Progress (level 4): 220 / 1048 (21.000000%) ETA: 612.960000s
Progress (level 4): 221 / 1053 (21.000000%) ETA: 613.290000s
Progress (level 4): 222 / 1053 (21.100000%) ETA: 609.830000s
Progress (level 4): 223 / 1053 (21.200000%) ETA: 606.360000s
Progress (level 4): 224 / 1056 (21.200000%) ETA: 605.110000s
Progress (level 4): 225 / 1056 (21.300000%) ETA: 601.700000s
Progress (level 4): 226 / 1061 (21.300000%) ETA: 601.920000s
Progress (level 4): 227 / 1062 (21.400000%) ETA: 599.280000s
Progress (level 4): 228 / 1063 (21.400000%) ETA: 596.650000s
Progress (level 4): 229 / 1063 (21.500000%) ETA: 593.330000s
Progress (level 4): 230 / 1063 (21.600000%) ETA: 590.050000s
Progress (level 4): 231 / 1064 (21.700000%) ETA: 587.500000s
Progress (level 4): 232 / 1064 (21.800000%) ETA: 584.260000s
Progress (level 4): 233 / 1064 (21.900000%) ETA: 581.060000s
Progress (level 4): 234 / 1064 (22.000000%) ETA: 577.880000s
Progress (level 4): 235 / 1070 (22.000000%) ETA: 579.000000s
Progress (level 4): 236 / 1070 (22.100000%) ETA: 575.900000s
Progress (level 4): 237 / 1070 (22.100000%) ETA: 572.790000s
Progress (level 4): 238 / 1070 (22.200000%) ETA: 569.720000s
Progress (level 4): 239 / 1078 (22.200000%) ETA: 572.140000s
Progress (level 4): 240 / 1078 (22.300000%) ETA: 569.080000s
Progress (level 4): 241 / 1078 (22.400000%) ETA: 566.060000s
Progress (level 4): 242 / 1078 (22.400000%) ETA: 563.050000s
Progress (level 4): 243 / 1080 (22.500000%) ETA: 561.420000s
Progress (level 4): 244 / 1081 (22.600000%) ETA: 559.120000s
Progress (level 4): 245 / 1081 (22.700000%) ETA: 556.180000s
Progress (level 4): 246 / 1081 (22.800000%) ETA: 553.250000s
Progress (level 4): 247 / 1081 (22.800000%) ETA: 550.360000s
Progress (level 4): 248 / 1081 (22.900000%) ETA: 547.480000s
Progress (level 4): 249 / 1081 (23.000000%) ETA: 544.630000s
Progress (level 4): 250 / 1085 (23.000000%) ETA: 544.410000s
Progress (level 4): 251 / 1089 (23.000000%) ETA: 544.190000s
Progress (level 4): 252 / 1093 (23.100000%) ETA: 543.980000s
Progress (level 4): 253 / 1093 (23.100000%) ETA: 541.180000s
Progress (level 4): 254 / 1093 (23.200000%) ETA: 538.410000s
Progress (level 4): 255 / 1096 (23.300000%) ETA: 537.580000s
Progress (level 4): 256 / 1097 (23.300000%) ETA: 535.490000s
Progress (level 4): 257 / 1103 (23.300000%) ETA: 536.580000s
Progress (level 4): 258 / 1103 (23.400000%) ETA: 533.870000s
Progress (level 4): 259 / 1107 (23.400000%) ETA: 533.700000s
Progress (level 4): 260 / 1111 (23.400000%) ETA: 533.530000s
Progress (level 4): 261 / 1111 (23.500000%) ETA: 530.870000s
Progress (level 4): 262 / 1111 (23.600000%) ETA: 528.230000s
Progress (level 4): 263 / 1113 (23.600000%) ETA: 526.840000s
Progress (level 4): 264 / 1113 (23.700000%) ETA: 524.230000s
Progress (level 4): 265 / 1113 (23.800000%) ETA: 521.640000s
Progress (level 4): 266 / 1120 (23.800000%) ETA: 523.370000s
Progress (level 4): 267 / 1124 (23.800000%) ETA: 523.250000s
Progress (level 4): 268 / 1124 (23.800000%) ETA: 520.700000s
Progress (level 4): 269 / 1124 (23.900000%) ETA: 518.160000s
Progress (level 4): 270 / 1125 (24.000000%) ETA: 516.260000s
Progress (level 4): 271 / 1125 (24.100000%) ETA: 513.760000s
Progress (level 4): 272 / 1129 (24.100000%) ETA: 513.670000s
Progress (level 4): 273 / 1129 (24.200000%) ETA: 511.200000s
Progress (level 4): 274 / 1132 (24.200000%) ETA: 510.530000s
Progress (level 4): 275 / 1132 (24.300000%) ETA: 508.230000s
Progress (level 4): 276 / 1132 (24.400000%) ETA: 506.210000s
Progress (level 4): 277 / 1132 (24.500000%) ETA: 503.800000s
Progress (level 4): 278 / 1132 (24.600000%) ETA: 501.400000s
Progress (level 4): 279 / 1132 (24.600000%) ETA: 499.050000s
